task_id,accuracy,balanced_accuracy,f1_macro,jaccard_macro,jaccard_micro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,roc_auc_ovr
6,0.98125,0.9811038973761954,0.9811838166377852,0.9633387380833278,0.9631901840490797,0.98125,0.981550581383638,"[0.98113208 0.98113208 1.         0.97368421 0.99342105 0.96052632
 0.9929078  0.98787879 0.98051948 0.98666667 0.99328859 1.
 0.91566265 0.96575342 1.         0.98639456 0.9556962  0.98742138
 0.98125    0.99310345 0.98125    0.97515528 0.97986577 0.99367089
 0.98717949 0.98675497]",0.98125,0.9811038973761955,"[0.9689441  0.99363057 0.97959184 0.98013245 0.99342105 0.97986577
 0.94594595 1.         0.97419355 0.96732026 0.99328859 1.
 0.99346405 0.95918367 0.99333333 0.98639456 0.98051948 1.
 1.         0.95364238 0.97515528 0.98742138 0.94193548 0.99367089
 0.98089172 0.98675497]",-1,-1
184,0.8250178189593728,0.8495636040798022,0.8473194750725432,0.7430379851795745,0.7021534728541098,0.8250178189593728,0.8466114381410194,"[0.90410959 0.79224377 0.96       0.77233429 0.82878151 0.86666667
 0.78976234 0.73282443 0.81818182 0.88043478 0.80242424 0.83333333
 1.         0.77227723 0.85365854 0.9664311  0.77718121 0.88836105]",0.8250178189593728,0.8495636040798022,"[0.84615385 0.72040302 0.97959184 0.78362573 0.86608123 0.8125
 0.75656743 0.70072993 0.83898305 0.86170213 0.78903456 1.
 1.         0.81533101 0.875      0.97853309 0.80416667 0.86374134]",-1,-1
554,0.9176428571428571,0.9164479473631009,0.9167732445988686,0.8481918065194514,0.8478189137464528,0.9176428571428571,0.9179124408303789,"[0.93907563 0.87123863 0.96005073 0.95007236 0.95335689 0.91149179
 0.91012839 0.92663755 0.93219076 0.82488168]",0.9176428571428571,0.916447947363101,"[0.91912269 0.89503954 0.96126984 0.95490909 0.97682839 0.8942577
 0.91273247 0.84006334 0.91648352 0.89377289]",-1,-1
1459,0.950587084148728,0.9447662643047879,0.9453655856600184,0.898432254785219,0.9058275058275058,0.950587084148728,0.9463644422883218,"[0.87096774 0.89240506 0.93877551 0.93969849 0.98089172 0.95951417
 0.9625     0.96167247 1.         0.95721925]",0.950587084148728,0.9447662643047877,"[0.9        0.88125    0.9623431  0.935      0.95061728 0.9875
 0.97058824 0.97526502 0.99009901 0.895     ]",-1,-1
1461,0.8648678535884109,0.807869315457977,0.7398371032252766,0.6202858840454099,0.7619094008767657,0.8648678535884109,0.7068633336546535,[0.45221445 0.96151222],0.8648678535884109,0.807869315457977,[0.73345936 0.88227927],0.807869315457977,0.807869315457977
1489,0.9306197964847364,0.9103114109699902,0.915278679068426,0.845830488221236,0.870242214532872,0.9306197964847364,0.9206991295807085,[0.89802632 0.94337194],0.9306197964847364,0.9103114109699902,[0.86119874 0.95942408],0.9103114109699902,0.9103114109699902
1590,0.8490121813901116,0.8213114114351607,0.8034863681481226,0.6820340952763881,0.7376378512984703,0.8490121813901116,0.7905639449182185,[0.65811653 0.92301136],0.8490121813901116,0.8213114114351607,[0.76817793 0.87444489],-1,-1
4135,0.057827281049740616,0.5,0.05466608971585172,0.028913640524870308,0.02977453059941865,0.057827281049740616,0.028913640524870308,[0.         0.05782728],0.057827281049740616,0.5,[0. 1.],0.5,0.5
4538,0.7351898734177216,0.6861350006736939,0.7039605256516925,0.5486413891377344,0.5812650120096077,0.7351898734177216,0.7367609275742601,[0.65454545 0.80794702 0.76177285 0.7242921  0.73524721],0.7351898734177216,0.6861350006736939,[0.49769585 0.61       0.6547619  0.88686131 0.78135593],-1,-1
40668,0.8546477205447011,0.7256123078415442,0.7323767661513787,0.6138489980641402,0.7461876453864048,0.8546477205447011,0.740558079449874,[0.81225593 0.91517561 0.49424269],0.8546477205447011,0.7256123078415443,[0.81274421 0.93153457 0.43255814],-1,-1
40701,0.959,0.8694300646471651,0.906605709807995,0.8366840131629295,0.9212295869356388,0.959,0.9570480081716037,[0.95955056 0.95454545],0.959,0.8694300646471651,[0.99417928 0.74468085],0.8694300646471652,0.8694300646471652
40926,0.44275,0.4426240136352007,0.4329847228536656,0.2808646452773333,0.2843152994060042,0.44275,0.43717875814277624,"[0.46244131 0.43508772 0.36099585 0.48728814 0.47860963 0.51692308
 0.36099585 0.39130435 0.50891089 0.36923077]",0.44275,0.4426240136352007,"[0.49127182 0.61083744 0.21588089 0.58080808 0.45316456 0.42
 0.435      0.34883721 0.6345679  0.23587224]",-1,-1
40927,0.41091666666666665,0.4109166666666667,0.4082193137494349,0.259422094682164,0.2585872358277833,0.41091666666666665,0.4083270661571576,"[0.45793758 0.27996165 0.38071488 0.43704305 0.43045388 0.45
 0.49144254 0.36736475 0.48659794 0.30175439]",0.41091666666666665,0.4109166666666667,"[0.5625     0.24333333 0.38166667 0.44833333 0.49       0.45
 0.5025     0.35083333 0.39333333 0.28666667]",-1,-1
40983,0.987603305785124,0.948102116224387,0.9401175378905042,0.8917904267653067,0.9755102040816327,0.987603305785124,0.9324499554258854,[0.87037037 0.99452954],0.987603305785124,0.948102116224387,[0.90384615 0.99235808],0.9481021162243869,0.9481021162243869
40996,0.8423571428571428,0.842357142857143,0.8418245588484119,0.7420518321253103,0.7276485469241686,0.8423571428571428,0.843537111785535,"[0.93469101 0.81290323 0.79192938 0.9924642  0.83371126 0.92389758
 0.8972028  0.93976778 0.61013047 0.6986734 ]",0.8423571428571428,0.8423571428571428,"[0.95071429 0.72       0.89714286 0.94071429 0.78785714 0.92785714
 0.91642857 0.925      0.56785714 0.79      ]",-1,-1
41027,0.8842034805890228,0.8264147889069235,0.8399084341515161,0.7324507986532599,0.7924415116976604,0.8842034805890228,0.8565173069955639,[0.88536866 0.7854251  0.89875816],0.8842034805890228,0.8264147889069235,[0.88231917 0.67128028 0.92564492],-1,-1
41156,0.8349397590361446,0.8138069454817027,0.7926040764215038,0.6664946429290692,0.7166494312306101,0.8349397590361446,0.7788296041308089,[0.91910499 0.63855422],0.8349397590361446,0.8138069454817027,[0.85576923 0.77184466],0.8138069454817028,0.8138069454817028
41166,0.6939632996055565,0.6436170677606164,0.6462612531706114,0.489261322591046,0.5313505350929026,0.6939632996055565,0.6648780531437234,"[0.54536188 0.59293873 0.59753086 0.69230769 0.64048443 0.65899455
 0.74366197 0.59550562 0.8549753  0.7270195 ]",0.6939632996055565,0.6436170677606164,"[0.76428571 0.38711864 0.41296928 0.5777027  0.80338542 0.57780138
 0.64285714 0.58455882 0.9461148  0.73937677]",-1,-1
41168,0.6552815429629187,0.5749450931702604,0.5402698466567564,0.3964539385115526,0.4873001776198934,0.6552815429629187,0.526244960457025,[0.80379474 0.55753814 0.14658926 0.5970577 ],0.6552815429629187,0.5749450931702604,[0.72576249 0.73159145 0.29970326 0.54272317],-1,-1
42769,0.64599,0.637218122164631,0.6334839298283864,0.4671772730528572,0.4770939653326046,0.64599,0.6512216940096875,[0.66811993 0.63432346],0.64599,0.637218122164631,[0.49062925 0.78380699],0.6372181221646311,0.6372181221646311
