dataset,balanced_accuracy,algo,c_budget,ens_size,beta,tau,cut_off_time,true_ens_size,Double_Fault,Norm_Double_Fault,yules_q,yules_q_norm,correlation,correlation_norm,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy
6,0.967908971564881,bo_div,3600,25,0.025,0.2,600,8,0.0718928571428571,0.9281071428571428,0.7569796364279372,0.1215101817860313,0.2791128436694444,0.3604435781652778,0.9679728242506536,0.999276117534016,0.999275730576352,0.968
6,0.9709052457603884,bo_div,3600,25,0.025,0.2,600,8,0.1669732142857142,0.8330267857142857,0.6507503421894867,0.1746248289052566,0.1963876362387644,0.4018061818806178,0.970898012933933,0.9983520175408076,0.9983516787373528,0.971
6,0.9651802535999466,bo_div,3600,25,0.025,0.2,600,9,0.1161805555555555,0.8838194444444446,0.4973438937884304,0.2513280531057847,0.1789130373032364,0.4105434813483819,0.965397221589126,0.9992885530913976,0.9992873784237384,0.9655
6,0.9566635485657196,bo_div,3600,25,0.025,0.2,600,2,0.03125,0.96875,0.9437949112185956,0.0281025443907022,0.4881960284101112,0.2559019857949444,0.956816920259381,0.9991019321572054,0.999097312402142,0.957
6,0.9667791961142032,bo_div,3600,25,0.025,0.2,600,9,0.10122916666666665,0.8987708333333333,0.7434677142170278,0.12826614289148616,0.25308735313675074,0.3734563234316247,0.9669133461728635,0.9991224670424739,0.999121913548009,0.967
184,0.7041222146904291,bo_div,3600,25,0.025,0.2,600,15,0.2995876183688016,0.7004123816311986,0.4252907031506349,0.2873546484246825,0.2155868660119046,0.3922065669940476,0.7243030927627265,0.9726036815434504,0.9817405021932444,0.7644333570919458
184,0.708457924326606,bo_div,3600,25,0.025,0.2,600,7,0.3847452737331568,0.6152547262668432,0.4637332468260156,0.2681333765869922,0.2450143539633244,0.3774928230183377,0.7266178990755312,0.9653895294346642,0.9782650283504576,0.7437633642195296
184,0.8634371107752526,bo_div,3600,25,0.025,0.2,600,12,0.4528958508823086,0.5471041491176915,0.319400747374821,0.3402996263125896,0.1682243695618252,0.4158878152190873,0.8617154395163741,0.9817537261991393,0.9856916566686472,0.8955808980755524
184,0.8085716493036542,bo_div,3600,25,0.025,0.2,600,8,0.2528828530699522,0.7471171469300478,0.465777771111396,0.2671111144443019,0.2281457960950068,0.3859271019524965,0.8098693194885042,0.982284788372688,0.9893218229642698,0.8109408410548824
184,0.7566015910673612,bo_div,3600,25,0.025,0.2,600,8,0.3169674676713166,0.6830325323286834,0.4883101081619473,0.25584494591902635,0.2364980213873817,0.3817509893063092,0.7667027058616914,0.9732403775475512,0.9833586767455361,0.7842124019957234
554,0.9690035321146752,bo_div,3600,25,0.025,0.2,600,1,0.0,0.0,0.0,0.0,0.0,0.0,0.968971190013838,0.9991097318625476,0.9991015957295096,0.9691428571428572
