,size,true size,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,doublefault_norm,doublefault,disagreement,yulesq,correlation,kappa-error
0,2,2,5,COS,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'COS'}",2.575463056564331,0.3965,0.39651794694716536,0.3916156314761445,0.3965,0.3928307360797623,"[0.41151386 0.4399093  0.30939227 0.27323944 0.41803279 0.33866667
 0.42765957 0.42035398 0.44315545 0.44638404]",0.3965,0.39651794694716536,"[0.48129676 0.49113924 0.27518428 0.24069479 0.255      0.32816537
 0.49507389 0.475      0.47160494 0.4520202 ]",0.6647224783348586,0.49,0.51,0.217,0.847,0.542,0.0
1,3,3,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 3, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",3.1245694160461426,0.40075,0.40097894117048305,0.3957223490342589,0.40075,0.393866966822688,"[0.43171806 0.45185185 0.30479452 0.26283988 0.36827195 0.33096927
 0.45393258 0.43303571 0.46943765 0.43181818]",0.40075,0.40097894117048305,"[0.48877805 0.46329114 0.21867322 0.21588089 0.325      0.36175711
 0.49753695 0.485      0.47407407 0.47979798]",0.6671672159426759,0.507,0.494,0.271,0.717,0.42,0.0
2,4,4,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 4, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",5.236705780029297,0.407,0.40715671887438515,0.4006134224574874,0.407,0.39930473936980354,"[0.41889117 0.44009217 0.31666667 0.28135593 0.4        0.35368957
 0.43415638 0.44419134 0.45901639 0.44498778]",0.407,0.40715671887438515,"[0.50872818 0.4835443  0.23341523 0.20595533 0.33       0.35917313
 0.51970443 0.4875     0.48395062 0.45959596]",0.6706075029463735,0.494,0.506,0.24,0.769,0.487,0.0
3,5,5,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",6.009788990020752,0.4105,0.4105660107351726,0.4042710070784697,0.4105,0.402553282020344,"[0.43035343 0.45747126 0.32142857 0.26058632 0.39306358 0.34293194
 0.43141153 0.46261682 0.46572104 0.45994832]",0.4105,0.4105660107351726,"[0.51620948 0.50379747 0.24324324 0.19851117 0.34       0.33850129
 0.53448276 0.495      0.48641975 0.44949495]",0.6725198404573473,0.505,0.495,0.282,0.657,0.391,0.0
4,6,6,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 6, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",6.83890962600708,0.4135,0.4135955704464373,0.4073382449942488,0.4135,0.40575499924063774,"[0.42886598 0.4516129  0.31666667 0.26018809 0.39534884 0.36411609
 0.43307087 0.46731235 0.48235294 0.45801527]",0.4135,0.4135955704464373,"[0.51870324 0.49620253 0.23341523 0.20595533 0.34       0.35658915
 0.54187192 0.4825     0.50617284 0.45454545]",0.6741940686178326,0.489,0.511,0.305,0.576,0.319,0.0
5,7,7,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 7, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",7.840203762054443,0.41125,0.4113839385578026,0.4061119964423138,0.41125,0.40516912611284067,"[0.41247485 0.45011086 0.32038835 0.29357798 0.39465875 0.36170213
 0.43157895 0.45862884 0.47355769 0.45501285]",0.41125,0.4113839385578026,"[0.51122195 0.51392405 0.24324324 0.2382134  0.3325     0.35142119
 0.50492611 0.485      0.48641975 0.4469697 ]",0.6729577297560124,0.484,0.516,0.283,0.614,0.371,0.0
6,8,8,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 8, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",8.618769884109497,0.4105,0.4105947289289033,0.4053250845092471,0.4105,0.4043455289211727,"[0.412      0.44911504 0.32247557 0.29393939 0.38888889 0.35483871
 0.43551797 0.4608076  0.47342995 0.45244216]",0.4105,0.4105947289289033,"[0.51371571 0.51392405 0.24324324 0.24069479 0.3325     0.34108527
 0.50738916 0.485      0.48395062 0.44444444]",0.6725297453036361,0.465,0.535,0.304,0.486,0.287,0.0
7,9,8,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 9, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",8.612327814102173,0.4105,0.4105947289289033,0.4053250845092471,0.4105,0.4043455289211727,"[0.412      0.44911504 0.32247557 0.29393939 0.38888889 0.35483871
 0.43551797 0.4608076  0.47342995 0.45244216]",0.4105,0.4105947289289033,"[0.51371571 0.51392405 0.24324324 0.24069479 0.3325     0.34108527
 0.50738916 0.485      0.48395062 0.44444444]",0.6725297453036361,0.465,0.535,0.304,0.486,0.287,0.0
8,10,10,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",10.180608749389648,0.411,0.41109032392921546,0.4060059073790202,0.411,0.40518422731823656,"[0.412      0.44298246 0.32792208 0.29518072 0.39296188 0.35924933
 0.43923241 0.46300716 0.47342995 0.44587629]",0.411,0.41109032392921546,"[0.51371571 0.51139241 0.24815725 0.24317618 0.335      0.34625323
 0.50738916 0.485      0.48395062 0.43686869]",0.6728070114903308,0.424,0.576,0.305,0.389,0.242,0.0
9,11,10,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",10.288050174713135,0.411,0.41109032392921546,0.4060059073790202,0.411,0.40518422731823656,"[0.412      0.44298246 0.32792208 0.29518072 0.39296188 0.35924933
 0.43923241 0.46300716 0.47342995 0.44587629]",0.411,0.41109032392921546,"[0.51371571 0.51139241 0.24815725 0.24317618 0.335      0.34625323
 0.50738916 0.485      0.48395062 0.43686869]",0.6728070114903308,0.424,0.576,0.305,0.389,0.242,0.0
