,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",2.6428351402282715,0.9299664327128471,0.7003166226912929,0.6919568760147023,0.9299664327128471,0.6844269776078302,[0.40338164 0.96547231],0.9299664327128471,0.7003166226912929,[0.44063325 0.96      ],0.7003166226912929
1,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",3.719083786010742,0.9465974977113213,0.6125559484259665,0.6546496362672832,0.9465974977113213,0.7760191544986352,[0.59731544 0.95472287],0.9465974977113213,0.6125559484259665,[0.2348285 0.9902834],0.6125559484259664
2,3,MAMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MAMV'}",3.9231791496276855,0.9459871833994508,0.5899428498178672,0.6291109081980295,0.9459871833994508,0.7794946151323345,[0.60683761 0.95215162],0.9459871833994508,0.5899428498178672,[0.18733509 0.99255061],0.5899428498178672
3,616,KNN_COMB,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_COMB', 'KNN_COMB:n_neighbors': 2, 'KNN_COMB:p': 1, 'KNN_COMB:weights': 'uniform'}",20.604572534561157,0.9299664327128471,0.6990783331374916,0.69122815156752,0.9299664327128471,0.6841166818941997,[0.40291262 0.96532074],0.9299664327128471,0.6990783331374916,[0.43799472 0.96016194],0.6990783331374916
4,5,COS,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'COS'}",28.40606117248535,0.9459871833994508,0.5899428498178672,0.6291109081980295,0.9459871833994508,0.7794946151323345,[0.60683761 0.95215162],0.9459871833994508,0.5899428498178672,[0.18733509 0.99255061],0.5899428498178672
5,6,AVG,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AVG'}",1.6984217166900635,0.9459871833994508,0.5899428498178672,0.6291109081980295,0.9459871833994508,0.7794946151323345,[0.60683761 0.95215162],0.9459871833994508,0.5899428498178672,[0.18733509 0.99255061],0.5899428498178672
6,7,MIMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MIMV', 'MIMV:threshold': 0.8615719385398862}",1.7983429431915283,0.9298138541348795,0.7014739405851751,0.6923743147184918,0.9298138541348795,0.684248039078921,[0.4028777  0.96561838],0.9298138541348795,0.7014739405851751,[0.44327177 0.95967611],0.7014739405851751
7,442,NN,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NN', 'NN:activation': 'relu', 'NN:alpha': 0.00011524127342070051, 'NN:solver': 'lbfgs', 'NN:tol': 9.294455607415489e-05}",27.76969623565674,0.9469026548672567,0.6164327604072084,0.6590964529644723,0.9469026548672567,0.778235222641887,[0.60130719 0.95516326],0.9469026548672567,0.6164327604072084,[0.24274406 0.99012146],0.6164327604072084
8,11,BC,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'BC'}",2.512176275253296,0.9459871833994508,0.5899428498178672,0.6291109081980295,0.9459871833994508,0.7794946151323345,[0.60683761 0.95215162],0.9459871833994508,0.5899428498178672,[0.18733509 0.99255061],0.5899428498178672
9,27,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'bw'}",2.0420966148376465,0.9469026548672567,0.6127178917458046,0.6553722409888469,0.9469026548672567,0.7800895916349996,[0.60544218 0.95473701],0.9469026548672567,0.6127178917458046,[0.2348285  0.99060729],0.6127178917458046
