,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,13,13,14,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 13, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",8.162926197052002,0.8958310295255999,0.8372913887452016,0.7851182843740881,0.8958310295255999,0.7526537908600003,[0.96648563 0.53882195],0.8958310295255999,0.8372913887452016,[0.91371321 0.76086957],0.8372913887452017
1,Model,13,13,206,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'Enc:ENC:encoder': 'one-hot', 'QDA:reg_param': 0.851980514848154}",7.320486068725586,0.7484241955103395,0.7415232128293481,0.6228513891123146,0.7484241955103395,0.61749716049323,[0.95490758 0.28008674],0.7484241955103395,0.7415232128293481,[0.75053225 0.73251418],0.7415232128293481
2,Model,13,13,44,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 8.627715167986882e-05, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 0.5798875728074455, 'DTREE:min_samples_leaf': 7, 'DTREE:min_samples_split': 5, 'Enc:ENC:encoder': 'one-hot'}",10.25845980644226,0.8988167643481145,0.7364889626461715,0.7455889237098378,0.8988167643481145,0.7558283560569625,[0.93771669 0.57394002],0.8988167643481145,0.7364889626461715,[0.94840326 0.52457467],0.7364889626461715
3,Model,13,13,61,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.00018282767897847562, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 0.5797024041183172, 'DTREE:min_samples_leaf': 1, 'DTREE:min_samples_split': 10, 'Enc:ENC:encoder': 'one-hot'}",9.602136373519897,0.9024659957978547,0.7467547847866924,0.7555026514843113,0.9024659957978547,0.7652451787114373,[0.94014128 0.59034908],0.9024659957978547,0.7467547847866924,[0.95003131 0.54347826],0.7467547847866924
4,Model,13,13,182,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 1.644245150022916e-05, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.5491361979415184, 'DTREE:min_samples_leaf': 4, 'DTREE:min_samples_split': 7, 'Enc:ENC:encoder': 'one-hot'}",9.074404001235962,0.8876479044564857,0.7059762337937509,0.715415982543269,0.8876479044564857,0.7263312674370963,[0.93055727 0.52210526],0.8876479044564857,0.7059762337937509,[0.94314339 0.46880907],0.7059762337937509
5,Model,13,13,52,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'Enc:ENC:encoder': 'one-hot', 'QDA:reg_param': 0.11714274253384727}",7.336813688278198,0.8889748977109366,0.7210766761401636,0.725682562817775,0.8889748977109366,0.7305988310072007,[0.93441195 0.52678571],0.8889748977109366,0.7210766761401636,[0.94026299 0.50189036],0.7210766761401636
6,Model,13,13,60,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 0.9856499652841908, 'AB:n_estimators': 76, 'Enc:ENC:encoder': 'one-hot'}",104.07160544395447,0.8977109366360722,0.6727270413689184,0.7039226577749754,0.8977109366360722,0.7604724817330888,[0.92154287 0.59940209],0.8977109366360722,0.6727270413689184,[0.96643707 0.37901701],0.6727270413689184
7,Model,13,13,42,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.00023156486575495372, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.955276500858475, 'DTREE:min_samples_leaf': 2, 'DTREE:min_samples_split': 3, 'Enc:ENC:encoder': 'one-hot'}",9.488065958023071,0.9018024991706293,0.74760899749412,0.7551015180064269,0.9018024991706293,0.7633156860814969,[0.94042448 0.5862069 ],0.9018024991706293,0.74760899749412,[0.9489042 0.5463138],0.7476089974941201
8,Model,13,13,116,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",47.538729429244995,0.9033506579674887,0.7259371600579063,0.7453637907748774,0.9033506579674887,0.7706665549256653,[0.93460457 0.60672854],0.9033506579674887,0.7259371600579063,[0.9575454  0.49432892],0.7259371600579062
9,Model,13,13,1,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0, 'RF:criterion': 'gini', 'RF:max_features': 0.5, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 50}",103.484623670578,0.905783478933982,0.7219851020284962,0.7461623067118319,0.905783478933982,0.7799709363690406,[0.93340625 0.62653563],0.905783478933982,0.7219851020284962,[0.96192862 0.48204159],0.7219851020284962
10,Model,13,13,250,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 3.683662518410714e-05, 'GB:learning_rate': 0.25249036207892367, 'GB:min_samples_leaf': 149}",24.935624599456787,0.9046776512219397,0.7303783204093688,0.749549353299816,0.9046776512219397,0.7742803590805958,[0.93565749 0.61290323],0.9046776512219397,0.7303783204093688,[0.9579211  0.50283554],0.7303783204093687
11,Model,13,13,185,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",23.134791374206543,0.9067787238748203,0.7364877197675699,0.7556283229159003,0.9067787238748203,0.7801127529124097,[0.9370869 0.6231386],0.9067787238748203,0.7364877197675699,[0.95879775 0.51417769],0.7364877197675699
12,Model,13,13,84,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 4.207892418452518e-09, 'GB:learning_rate': 0.4389463554079894, 'GB:min_samples_leaf': 93}",23.51468849182129,0.9022448302554462,0.7281807926724613,0.7452517599718139,0.9022448302554462,0.7667322254480426,[0.93527032 0.59819413],0.9022448302554462,0.7281807926724613,[0.95541641 0.50094518],0.7281807926724613
13,Model,13,13,316,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.004238892584744687, 'GB:learning_rate': 0.45345248425743, 'GB:min_samples_leaf': 105}",24.05556321144104,0.902134247484242,0.7248383961894526,0.7432190218242438,0.902134247484242,0.7668606588653929,[0.93441018 0.59931114],0.902134247484242,0.7248383961894526,[0.95629305 0.49338374],0.7248383961894526
