,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,13,13,14,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 13, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",8.162926197052002,0.7681079287846954,0.7994059632131608,0.6556384808678422,0.7681079287846954,0.6442198603517878,[0.97285577 0.31558395],0.7681079287846954,0.7994059632131608,[0.75854728 0.84026465],0.7994059632131608
1,Model,13,13,206,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'Enc:ENC:encoder': 'one-hot', 'QDA:reg_param': 0.851980514848154}",7.320486068725586,0.9018024991706293,0.74760899749412,0.7551015180064269,0.9018024991706293,0.7633156860814969,[0.94042448 0.5862069 ],0.9018024991706293,0.74760899749412,[0.9489042 0.5463138],0.7476089974941201
2,Model,13,13,44,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 8.627715167986882e-05, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 0.5798875728074455, 'DTREE:min_samples_leaf': 7, 'DTREE:min_samples_split': 5, 'Enc:ENC:encoder': 'one-hot'}",10.25845980644226,0.7484241955103395,0.7415232128293481,0.6228513891123146,0.7484241955103395,0.61749716049323,[0.95490758 0.28008674],0.7484241955103395,0.7415232128293481,[0.75053225 0.73251418],0.7415232128293481
3,Model,13,13,61,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.00018282767897847562, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 0.5797024041183172, 'DTREE:min_samples_leaf': 1, 'DTREE:min_samples_split': 10, 'Enc:ENC:encoder': 'one-hot'}",9.602136373519897,0.7498617715359946,0.741927266744238,0.6239257340660941,0.7498617715359946,0.6180530718486728,[0.95485614 0.28125   ],0.7498617715359946,0.741927266744238,[0.75228554 0.731569  ],0.7419272667442381
4,Model,13,13,182,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 1.644245150022916e-05, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.5491361979415184, 'DTREE:min_samples_leaf': 4, 'DTREE:min_samples_split': 7, 'Enc:ENC:encoder': 'one-hot'}",9.074404001235962,0.7156916952338825,0.7393873555449549,0.6014195052929507,0.7156916952338825,0.609059977242945,[0.95881356 0.2593064 ],0.7156916952338825,0.7393873555449549,[0.70845335 0.77032136],0.7393873555449549
5,Model,13,13,52,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'Enc:ENC:encoder': 'one-hot', 'QDA:reg_param': 0.11714274253384727}",7.336813688278198,0.7595930554019684,0.7367783166215482,0.6284123831528395,0.7595930554019684,0.6190832927128669,[0.95179599 0.2863706 ],0.7595930554019684,0.7367783166215482,[0.7665623  0.70699433],0.7367783166215482
6,Model,13,13,60,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 0.9856499652841908, 'AB:n_estimators': 76, 'Enc:ENC:encoder': 'one-hot'}",104.07160544395447,0.7640163662501382,0.736413206236173,0.6311837965029876,0.7640163662501382,0.6203987007968711,[0.95111796 0.28967944],0.7640163662501382,0.736413206236173,[0.77244834 0.70037807],0.736413206236173
7,Model,13,13,42,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.00023156486575495372, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.955276500858475, 'DTREE:min_samples_leaf': 2, 'DTREE:min_samples_split': 3, 'Enc:ENC:encoder': 'one-hot'}",9.488065958023071,0.9013601680858122,0.7453086659414568,0.7533663729126654,0.9013601680858122,0.7622712845525164,[0.93984869 0.58469388],0.9013601680858122,0.7453086659414568,[0.94902943 0.5415879 ],0.7453086659414568
8,Model,13,13,116,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",47.538729429244995,0.7709830808360058,0.7325686276134482,0.6343395897441605,0.7709830808360058,0.621418492205009,[0.94898269 0.29385429],0.7709830808360058,0.7325686276134482,[0.7827176  0.68241966],0.7325686276134482
9,Model,13,13,1,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0, 'RF:criterion': 'gini', 'RF:max_features': 0.5, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 50}",103.484623670578,0.7738582328873161,0.7333767354432282,0.6365702630182853,0.7738582328873161,0.622787137747499,[0.94891173 0.29666255],0.7738582328873161,0.7333767354432282,[0.78622417 0.6805293 ],0.7333767354432282
10,Model,13,13,250,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 3.683662518410714e-05, 'GB:learning_rate': 0.25249036207892367, 'GB:min_samples_leaf': 149}",24.935624599456787,0.6967820413579564,0.7327795026828423,0.5877246905628966,0.6967820413579564,0.6033188790513048,[0.95918725 0.24745051],0.6967820413579564,0.7327795026828423,[0.68578585 0.77977316],0.7327795026828422
11,Model,13,13,185,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",23.134791374206543,0.9013601680858122,0.7412089420972452,0.7512320655055459,0.9013601680858122,0.7626093472926718,[0.93876036 0.58645833],0.9013601680858122,0.7412089420972452,[0.95028178 0.53213611],0.7412089420972452
