,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,10,10,1,DTEMP,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTEMP', 'DTEMP:similarity': 'euclidean'}",5.592921495437622,0.6749865647578671,0.5925874411212771,0.5496077561624426,0.6749865647578671,0.5523365534138818,[0.09196235 0.64330283 0.67395075 0.80013029],0.6749865647578671,0.5925874411212771,[0.3768546  0.53716568 0.65931456 0.79701493],0.7434736551253699
1,Model,10,10,49,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0002286688965981546, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.6800730235106573, 'DTREE:min_samples_leaf': 3, 'DTREE:min_samples_split': 5}",125.24938869476318,0.7160685495909715,0.555247440905449,0.5759507535717039,0.7160685495909715,0.6662393239198678,[0.53424658 0.61913183 0.71813917 0.79343972],0.7160685495909715,0.555247440905449,[0.115727   0.66880861 0.62334578 0.81310837],0.7292458150336323
2,Model,10,10,96,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 0.00011417440808858004, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.9361834414599945, 'XT:max_features': 0.5935191018872034, 'XT:min_samples_leaf': 2, 'XT:min_samples_split': 10, 'XT:n_estimators': 18}",63.8018479347229,0.707887979936705,0.5495578652369395,0.5664400551937375,0.707887979936705,0.6204297421079905,[0.38235294 0.61617647 0.69608216 0.7871074 ],0.707887979936705,0.5495578652369395,[0.115727   0.6549149  0.62097048 0.80661908],0.7246073794583298
3,Model,10,10,16,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'MLP:activation': 'logistic', 'MLP:alpha': 0.0016335797775755248, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 129, 'MLP:solver': 'adam', 'MLP:tol': 0.0008323747270180798, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.009153388506093289}",203.9229292869568,0.7011405027766167,0.5531426144212521,0.5615575200749867,0.7011405027766167,0.5728062316482654,[0.19157088 0.61039386 0.6983945  0.79086569],0.7011405027766167,0.5531426144212521,[0.14836795 0.64866273 0.61995249 0.79558728],0.725635076403118
4,Model,10,10,47,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'QDA:reg_param': 0.13814781632922046}",3.229789972305298,0.7108138771123186,0.54607504597631,0.564171181331007,0.7108138771123186,0.6517326575592036,[0.49230769 0.61218258 0.7128868  0.78955356],0.7108138771123186,0.54607504597631,[0.09495549 0.66151441 0.6175772  0.81025308],0.7237260389509249
5,Model,10,10,69,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 0.3809192194258654, 'AB:n_estimators': 42}",320.64097118377686,0.5186600585179435,0.51668736706288,0.4382897603205995,0.5186600585179435,0.45400789120404605,[0.06060606 0.48914168 0.46698327 0.79930056],0.5186600585179435,0.51668736706288,[0.42136499 0.41073289 0.70071259 0.533939  ],0.680380183199271
6,Model,10,10,9,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.8440987466002508e-09, 'GB:learning_rate': 0.038522869393643765, 'GB:min_samples_leaf': 84}",152.20261597633362,0.6911685675046277,0.5071483858930093,0.5092194042851517,0.6911685675046277,0.7614293039985203,[1.         0.59256252 0.68456376 0.76859094],0.6911685675046277,0.5071483858930093,[0.00296736 0.63372699 0.58839498 0.80350422],0.7004942052606492
7,Model,10,10,31,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 5.057872010937951e-08, 'GB:learning_rate': 0.07540637042142563, 'GB:min_samples_leaf': 153}",142.99744248390198,0.6884815190780438,0.5062244132386887,0.5164470647973972,0.6884815190780438,0.6380702950395253,[0.5        0.58643183 0.70626072 0.75958863],0.6884815190780438,0.5062244132386887,[0.02670623 0.6245224  0.55887343 0.81479559],0.6986154978865619
8,Model,10,10,68,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",44.002960205078125,0.5428434943571983,0.5086133028373745,0.45037999821003577,0.5428434943571983,0.4553167464669231,[0.0658363  0.49170639 0.47691587 0.78680843],0.5428434943571983,0.5086133028373745,[0.32937685 0.44789858 0.69053275 0.56664504],0.6794698910107443
9,Model,10,10,18,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.5481646655709492e-07, 'GB:learning_rate': 0.23505986156428454, 'GB:min_samples_leaf': 94}",110.4032142162323,0.5009852510897475,0.49076987453308796,0.41916171030912996,0.5009852510897475,0.4237721680507289,[0.07361268 0.44680851 0.42589364 0.74877384],0.5009852510897475,0.49076987453308796,[0.38575668 0.37929837 0.66304717 0.53497729],0.6632552705235256
10,Model,10,10,34,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",132.29377555847168,0.5010449632770049,0.4908961207448177,0.4192013939469633,0.5010449632770049,0.42378558488575824,[0.07386364 0.44678674 0.42530985 0.74918212],0.5010449632770049,0.4908961207448177,[0.38575668 0.3791247  0.66372582 0.53497729],0.663309208301737
